fornamn,efternamn,parti,valkrets,riksdagsstatus,fodelsear,kon,hemort,person_url_xml,bild_url_80
Kenneth G,Forslund,S,Västra Götalands läns västra,Förste vice talman (tjänstgörande riksdagsledamot),1967,man,,https://data.riksdagen.se/person/f1484855-05d7-498f-8872-5a0c33ad535b,https://data.riksdagen.se/filarkiv/bilder/ledamot/f1484855-05d7-498f-8872-5a0c33ad535b_80.jpg
Jan,Riise,MP,Hallands län,Tjänstgörande riksdagsledamot,1957,man,,https://data.riksdagen.se/person/af49e862-937e-42ee-bc2f-06876c979dd6,https://data.riksdagen.se/filarkiv/bilder/ledamot/af49e862-937e-42ee-bc2f-06876c979dd6_80.jpg
Jessica,Wetterling,V,Västra Götalands läns västra,Tjänstgörande riksdagsledamot,1986,kvinna,,https://data.riksdagen.se/person/dc0c1e6e-450b-4763-be41-c3f810d50b72,https://data.riksdagen.se/filarkiv/bilder/ledamot/dc0c1e6e-450b-4763-be41-c3f810d50b72_80.jpg
Malin,Danielsson,L,Stockholms kommun,Tjänstgörande riksdagsledamot,1977,kvinna,,https://data.riksdagen.se/person/b25b78e6-540a-4b6d-8a54-e365587df379,https://data.riksdagen.se/filarkiv/bilder/ledamot/b25b78e6-540a-4b6d-8a54-e365587df379_80.jpg
Ida,Drougge,M,Stockholms län,Tjänstgörande riksdagsledamot,1990,kvinna,,https://data.riksdagen.se/person/e8a2c04d-a186-421b-b1fd-a401f0917673,https://data.riksdagen.se/filarkiv/bilder/ledamot/e8a2c04d-a186-421b-b1fd-a401f0917673_80.jpg
Elsa,Widding,-,Stockholms kommun,Tjänstgörande riksdagsledamot,1968,kvinna,,https://data.riksdagen.se/person/e97a0939-8ba6-40c6-973e-2cc03cfb475c,https://data.riksdagen.se/filarkiv/bilder/ledamot/e97a0939-8ba6-40c6-973e-2cc03cfb475c_80.jpg
Blåvitt,Elofsson,S,Värmlands län,Tjänstgörande riksdagsledamot,1953,man,,https://data.riksdagen.se/person/e44d8070-b7cd-49cd-bd33-09dd13649a9e,https://data.riksdagen.se/filarkiv/bilder/ledamot/e44d8070-b7cd-49cd-bd33-09dd13649a9e_80.jpg
Angelica,Lundberg,SD,Västmanlands län,Tjänstgörande riksdagsledamot,1981,kvinna,,https://data.riksdagen.se/person/a7ca5ca6-2e77-4360-8369-0671993019c4,https://data.riksdagen.se/filarkiv/bilder/ledamot/a7ca5ca6-2e77-4360-8369-0671993019c4_80.jpg
Mats,Hellhoff,SD,Västernorrlands län,Tjänstgörande riksdagsledamot,1954,man,,https://data.riksdagen.se/person/817a9e2d-db07-44d6-9d9a-abd9f7fc2a86,https://data.riksdagen.se/filarkiv/bilder/ledamot/817a9e2d-db07-44d6-9d9a-abd9f7fc2a86_80.jpg
Robert,Olesen,S,Kronobergs län,Tjänstgörande riksdagsledamot,1975,man,,https://data.riksdagen.se/person/636bf682-393b-4ceb-a1d2-3172d8562627,https://data.riksdagen.se/filarkiv/bilder/ledamot/636bf682-393b-4ceb-a1d2-3172d8562627_80.jpg
