riksmote,arende,arende_punkt,ledamot_namn,parti,valkrets,rost,avser,voteringstyp,registrerat,dok_id
2025/26,AU10,3,Rasmus Giertz,SD,Dalarnas län,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lars Beckman,M,Gävleborgs län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Roger Hedlund,SD,Gävleborgs län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Andreas Lennkvist Manriquez,V,Stockholms kommun,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Karin Rågsjö,V,Stockholms kommun,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Maria Stockhaus,M,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Magdalena Andersson,S,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Leif Nysmed,S,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Åsa Westlund,S,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Adam Marttinen,SD,Södermanlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lotta Johnsson Fornarve,V,Södermanlands län,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Martina Johansson,C,Södermanlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ann-Sofie Lifvenhage,M,Södermanlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mats Green,M,Jönköpings län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
