CATEGORIES,LOCATION,UID,TRANSP,DTSTART,DTEND,CREATED,LAST-MODIFIED,SUMMARY,DESCRIPTION,COMMENT,XRDDATA,XRDREST,XRDSOURCEID,XRDDOKID,XRDDOKRELID,XRDDTSTARTSTATUS,XRDSOURCE,XRDRM,XRDSORT
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260319ap,TRANSPARENT,20260319T120000,20260319T130000,20260312T154218,20260312T154218,Debatt om förslag,"['', '\\n\\n2025/26:TU10 Sjöfartsfrågor\\n\\n2025/26:SfU17 Ekonomisk familjepolitik\\n\\n2025/26:SfU10 Riksrevisionens rapport om socialförsäkringsskyddet vid internationell rörlighet\\n\\n2025/26:UU14 Folkrätt\\, inklusive mänskliga rättigheter\\n\\n2025/26:SkU33 Riksrevisionens rapport om Skatteverkets åtgärder mot svartarbete\\n\\n']",,"dok_id{HD01TU10,HD01SfU17,HD01SfU10,HD01UU14,HD01SkU33};X-RD-TLISTA:HD0J20260319;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-19,36f0f507-3447-441c-8183-3f67d8566a2f,HDC120260319ap,,,Safir,2025/26,12:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260318vo,TRANSPARENT,20260318T160000,20260318T170000,20260317T153857,20260317T153857,Beslut,"['', '\\n2025/26:UbU9 Lärare och elever\\n\\n2025/26:UbU16 Riksrevisionens rapport om systemet för lärarlegitimation\\n\\n2025/26:UU16 FN i svensk utrikespolitik\\n\\n2025/26:MJU12 Cirkulär och giftfri ekonomi\\n\\n2025/26:MJU14 En ny lag om tillhandahållande på marknaden av EU-gödselprodukter\\n\\n2025/26:FiU22 Finansiell stabilitet och finansmarknadsfrågor\\n\\n2025/26:FiU26 Kommunala frågor\\n\\n2025/26:NU14 Näringspolitik\\n\\n2025/26:NU16 Mineralpolitik\\n\\n2025/26:JuU27 Säkerhetsförvaring – en ny tidsobestämd frihetsberövande påföljd\\n\\n2025/26:FöU10 Totalförsvar\\n\\n2025/26:SfU12 Nya regler för arbetskraftsinvandring\\n\\n2025/26:MJU13 Skärpningar av regelverket för invasiva främmande arter och naturvård\\n\\n2025/26:MJU15 Hund under kontroll\\n\\n2025/26:AU6 Riksrevisionens rapport om Arbetsförmedlingens stöd till personer med funktionsnedsättning\\, m.m.\\n']",,"dok_id{HD01UbU9,HD01UbU16,HD01UU16,HD01MJU12,HD01MJU14,HD01FiU22,HD01FiU26,HD01NU14,HD01NU16,HD01JuU27,HD01FöU10,HD01SfU12,HD01MJU13,HD01MJU15,HD01AU6};X-RD-TLISTA:;X-RD-FLISTA:HD0I92",aktivitetlista/arbetsplenum/2026-03-18,23bdc9d1-beed-4bbe-bb5e-40f6c262c29e,HDC120260318vo,,,Safir,2025/26,16:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260318ap,TRANSPARENT,20260318T090000,20260318T100000,20260317T153857,20260317T153857,Debatt om förslag,"['', '\\n\\n2025/26:JuU27 Säkerhetsförvaring – en ny tidsobestämd frihetsberövande påföljd\\n\\n2025/26:FöU10 Totalförsvar\\n\\n2025/26:SfU12 Nya regler för arbetskraftsinvandring\\n\\n2025/26:MJU13 Skärpningar av regelverket för invasiva främmande arter och naturvård\\n\\n2025/26:MJU15 Hund under kontroll\\n\\n2025/26:AU6 Riksrevisionens rapport om Arbetsförmedlingens stöd till personer med funktionsnedsättning\\, m.m.\\n\\n']",,"dok_id{HD01JuU27,HD01FöU10,HD01SfU12,HD01MJU13,HD01MJU15,HD01AU6};X-RD-TLISTA:HD0J20260318;X-RD-FLISTA:HD0I92",aktivitetlista/arbetsplenum/2026-03-18,7fe63a19-8e2d-4e6a-bbfc-347b30a1ca70,HDC120260318ap,,,Safir,2025/26,09:00:00-0
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260317ap,TRANSPARENT,20260317T120000,20260317T130000,20260317T120336,20260317T120336,Debatt om förslag,"['', '\\n\\n2025/26:FiU22 Finansiell stabilitet och finansmarknadsfrågor\\n\\n2025/26:FiU26 Kommunala frågor\\n\\n2025/26:NU14 Näringspolitik\\n\\n2025/26:NU16 Mineralpolitik\\n\\n']",,"dok_id{HD01FiU22,HD01FiU26,HD01NU14,HD01NU16};X-RD-TLISTA:HD0J20260317;X-RD-FLISTA:HD0I91",aktivitetlista/arbetsplenum/2026-03-17,74915465-402f-481a-8b34-2583eb98a57e,HDC120260317ap,,,Safir,2025/26,12:00:00-1
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260316ip,TRANSPARENT,20260316T110000,20260316T120000,20260317T233120,20260317T233120,Interpellationsdebatter,"['', '\\n\\n2025/26:376 De inre gränskontrollernas påverkan på den nordiska integrationen\\n\\n']",,dok_id{HD10376};X-RD-TLISTA:;X-RD-FLISTA:HD0I90,aktivitetlista/interpellationsdebatt/2026-03-16,cc210b68-1996-4f87-9a9e-19b759a395d4,HDC120260316ip,,,Safir,2025/26,11:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260313ip,TRANSPARENT,20260313T090000,20260313T100000,20260314T233102,20260314T233102,Interpellationsdebatter,"['', '\\n\\n2025/26:341 Moms på parkeringsplatser\\n\\n2025/26:368 Redovisning av budgeteffekter\\n\\n2025/26:279 Regeringens stöd till folkets resning mot regimen i Iran\\n\\n']",,"dok_id{HD10341,HD10368,HD10279};X-RD-TLISTA:;X-RD-FLISTA:HD0I89",aktivitetlista/interpellationsdebatt/2026-03-13,54160488-0b3c-47ee-b734-64cc0354c291,HDC120260313ip,,,Safir,2025/26,09:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260312vo2,TRANSPARENT,20260312T152000,20260312T162000,20260312T163308,20260312T163308,Beslut,"['', '\\n2025/26:CU14 Hyresrätt m.m.\\n\\n2025/26:CU16 Associationsrätt\\n\\n2025/26:UbU6 Förskolan\\n']",,"dok_id{HD01CU14,HD01CU16,HD01UbU6};X-RD-TLISTA:;X-RD-FLISTA:HD0I88",aktivitetlista/arbetsplenum/2026-03-12,c62e1290-5823-495d-a0f4-967ff86529fa,HDC120260312vo2,,,Safir,2025/26,15:20:00-2
"kammaren,statsministerns frågestund,Frågestunder,kamm",Kammaren,RDHDC120260312sf,TRANSPARENT,20260312T140000,20260312T150000,20260312T163308,20260312T163308,Statsministerns frågestund,"['', 'Vid frågestunden svarar statsminister Ulf Kristersson (M) på frågor från riksdagsledamöterna direkt i kammaren.']",,;X-RD-TLISTA:;X-RD-FLISTA:HD0I88,,0ba06e84-811c-44c9-819d-729a0f92499d,HDC120260312sf,,,Safir,2025/26,14:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260312ap,TRANSPARENT,20260312T120000,20260312T130000,20260312T163308,20260312T163308,Debatt om förslag,"['', '\\n\\n2025/26:UbU9 Lärare och elever\\n\\n2025/26:UbU16 Riksrevisionens rapport om systemet för lärarlegitimation\\n\\n2025/26:UU16 FN i svensk utrikespolitik\\n\\n2025/26:MJU12 Cirkulär och giftfri ekonomi\\n\\n2025/26:MJU14 En ny lag om tillhandahållande på marknaden av EU-gödselprodukter\\n\\n']",,"dok_id{HD01UbU9,HD01UbU16,HD01UU16,HD01MJU12,HD01MJU14};X-RD-TLISTA:HD0J20260312;X-RD-FLISTA:HD0I88",aktivitetlista/arbetsplenum/2026-03-12,5189d866-cd71-47d0-b2c3-6cce9179c23d,HDC120260312ap,,,Safir,2025/26,12:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260311vo2,TRANSPARENT,20260311T160000,20260311T170000,20260312T163306,20260312T163306,Beslut,"['', '\\n2025/26:UbU7 Övergripande skolfrågor\\n\\n2025/26:UbU8 Grundläggande om utbildning\\n\\n2025/26:SoU15 Stöd till personer med funktionsnedsättning\\n\\n2025/26:SoU21 Äldreomsorg\\n\\n2025/26:UbU15 Riksrevisionens rapport om urval till högskolan – urvalsgrunder\\, platsfördelning och tillämpning\\n\\n2025/26:UU15 Situationen i Israel och Palestina\\n\\n2025/26:FöU9 Samhällets krisberedskap\\n\\n2025/26:CU9 Juridiska personers förvärv av lantbruksegendom genom testamente\\n\\n2025/26:CU21 Elektronisk inlämning av bouppteckningar\\n\\n2025/26:MJU10 Jakt och viltvård\\n\\n2025/26:MJU16 Klimatpolitik\\n\\n2025/26:SkU15 Företag\\, kapital och fastighet\\n\\n2025/26:JuU24 2025 års redogörelse för tillämpningen av lagen om särskild kontroll av vissa utlänningar\\n\\n2025/26:JuU25 Redovisning av användningen av hemliga tvångsmedel under 2024\\n\\n2025/26:UU8 Sexuell och reproduktiv hälsa och rättigheter i det internationella biståndet\\n\\n2025/26:FiU46 Extra ändringsbudget för 2026 – Stöd till Ukraina och vaccinberedskap\\n\\n2025/26:FiU15 Riksrevisionens rapport om avgiftsbelagda tjänster\\n\\n2025/26:FiU18 Riksrevisionens rapport om statens användning och anskaffning av kontorslokaler\\n\\n2025/26:FiU19 Riksrevisionens rapport om statens arbete med Agenda 2030\\n\\n2025/26:KU26 Offentlighet\\, sekretess och integritet\\n\\n2025/26:KU27 Valfrågor\\n\\n2025/26:KU28 Fri- och rättigheter m.m.\\n\\n2025/26:CU11 Ett stärkt konsumentskydd vid distansavtal\\n']",,"dok_id{HD01UbU7,HD01UbU8,HD01SoU15,HD01SoU21,HD01UbU15,HD01UU15,HD01FöU9,HD01CU9,HD01CU21,HD01MJU10,HD01MJU16,HD01SkU15,HD01JuU24,HD01JuU25,HD01UU8,HD01FiU46,HD01FiU15,HD01FiU18,HD01FiU19,HD01KU26,HD01KU27,HD01KU28,HD01CU11};X-RD-TLISTA:;X-RD-FLISTA:HD0I87",aktivitetlista/arbetsplenum/2026-03-11,b18388f0-65a5-496d-ad2e-9b9924a5f229,HDC120260311vo2,,,Safir,2025/26,16:00:00-3
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260311ap,TRANSPARENT,20260311T090100,20260311T100100,20260312T163306,20260312T163306,Debatt om förslag,"['Ingen starttid', '\\n\\n2025/26:UU8 Sexuell och reproduktiv hälsa och rättigheter i det internationella biståndet\\n\\n2025/26:FiU46 Extra ändringsbudget för 2026 – Stöd till Ukraina och vaccinberedskap\\n\\n2025/26:FiU15 Riksrevisionens rapport om avgiftsbelagda tjänster\\n\\n2025/26:FiU18 Riksrevisionens rapport om statens användning och anskaffning av kontorslokaler\\n\\n2025/26:FiU19 Riksrevisionens rapport om statens arbete med Agenda 2030\\n\\n2025/26:KU26 Offentlighet\\, sekretess och integritet\\n\\n2025/26:KU27 Valfrågor\\n\\n2025/26:KU28 Fri- och rättigheter m.m.\\n\\n2025/26:CU11 Ett stärkt konsumentskydd vid distansavtal\\n\\n2025/26:CU14 Hyresrätt m.m.\\n\\n2025/26:CU16 Associationsrätt\\n\\n2025/26:UbU6 Förskolan\\n\\n']",,"dok_id{HD01UU8,HD01FiU46,HD01FiU15,HD01FiU18,HD01FiU19,HD01KU26,HD01KU27,HD01KU28,HD01CU11,HD01CU14,HD01CU16,HD01UbU6};X-RD-TLISTA:HD0J20260311;X-RD-FLISTA:HD0I87",aktivitetlista/arbetsplenum/2026-03-11,ac82a566-084a-4355-810f-7eede2352b70,HDC120260311ap,,Ingen starttid,Safir,2025/26,09:01:00-2
"kammaren,val,Övriga aktiviteter,kamm",Kammaren,RDHDC120260311va,TRANSPARENT,20260311T090000,20260311T100000,20260312T163306,20260312T163306,Val,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:HD0I87,,26f0d279-d027-4077-b957-be7a2dd2171a,HDC120260311va,,,Safir,2025/26,09:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260310ap,TRANSPARENT,20260310T120000,20260310T130000,20260311T230436,20260311T230436,Debatt om förslag,"['', '\\n\\n2025/26:MJU10 Jakt och viltvård\\n\\n2025/26:MJU16 Klimatpolitik\\n\\n2025/26:SkU15 Företag\\, kapital och fastighet\\n\\n2025/26:JuU24 2025 års redogörelse för tillämpningen av lagen om särskild kontroll av vissa utlänningar\\n\\n2025/26:JuU25 Redovisning av användningen av hemliga tvångsmedel under 2024\\n\\n']",,"dok_id{HD01MJU10,HD01MJU16,HD01SkU15,HD01JuU24,HD01JuU25};X-RD-TLISTA:HD0J20260310;X-RD-FLISTA:HD0I86",aktivitetlista/arbetsplenum/2026-03-10,b76d986a-8a44-4d54-a0dd-718e5f56dc3e,HDC120260310ap,,,Safir,2025/26,12:00:00-1
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260309ip,TRANSPARENT,20260309T110000,20260309T120000,20260310T233145,20260310T233145,Interpellationsdebatter,"['', '\\n\\n2025/26:333 Skydd för svenska medborgare som deltar i flottilj till Gaza\\n\\n2025/26:335 Sveriges hållning till Västsahara\\n\\n2025/26:339 Den syriska regimens attacker mot kurder\\n\\n2025/26:340 USA:s blockad av Kuba\\n\\n2025/26:364 Demokratirörelsen i Venezuela\\n\\n2025/26:345 Finanspolitiska rådets årliga rapport om regeringens arbetsmarknadspolitik\\n\\n2025/26:347 Utbildningsbevis för ställningsbyggare\\n\\n2025/26:351 Regeringens proposition med anledning av Miljömålsberedningens betänkande\\n\\n2025/26:352 Regeringens krisberedskap för snabbare uppvärmning\\n\\n2025/26:363 Oanvända klimatstöd\\n\\n2025/26:358 Fattigdomen i Sverige\\n\\n']",,"dok_id{HD10333,HD10335,HD10339,HD10340,HD10364,HD10345,HD10347,HD10351,HD10352,HD10363,HD10358};X-RD-TLISTA:;X-RD-FLISTA:HD0I85",aktivitetlista/interpellationsdebatt/2026-03-09,98b07f36-deed-4392-9712-2ee90dede36a,HDC120260309ip,,,Safir,2025/26,11:00:00-1
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260306ip,TRANSPARENT,20260306T090000,20260306T100000,20260307T233139,20260307T233139,Interpellationsdebatter,"['', '\\n\\n2025/26:357 Sveriges EU-avgift i förhandlingarna om nästa långtidsbudget\\n\\n2025/26:359 Rättssäkerhet och civilsamhällets roll i svenskt bistånd\\n\\n2025/26:360 Stödet till Islamic Relief\\n\\n']",,"dok_id{HD10357,HD10359,HD10360};X-RD-TLISTA:;X-RD-FLISTA:HD0I84",aktivitetlista/interpellationsdebatt/2026-03-06,49c6dabd-675b-4f9c-8068-407b1f109779,HDC120260306ip,,,Safir,2025/26,09:00:00-0
"kammaren,frågestund,Frågestunder,kamm",Kammaren,RDHDC120260305fs,TRANSPARENT,20260305T140000,20260305T150000,20260304T144654,20260304T144654,Frågestund,"['', '\\nVid frågestunden svarar ministrarna i regeringen på frågor från riksdagsledamöterna direkt i kammaren.\\n\\n Frågor besvaras av: \\n\\nEnergi- och näringsminister Ebba Busch (KD)\\n\\nFörsvarsminister Pål Jonson (M)\\n\\nCivilminister Erik Slottner (KD)\\n\\nKulturminister Parisa Liljestrand (M)\\n\\nEnergi- och näringsminister Ebba Busch (KD) besvarar såväl allmänpolitiska frågor som frågor inom sitt eget ansvarsområde.\\n\\nListan över ministrar som deltar är preliminär.\\n']",,;X-RD-TLISTA:;X-RD-FLISTA:HD0I83,,0a69834d-3510-41d4-a382-6b64313ec0ce,HDC120260305fs,,,Safir,2025/26,14:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260305ap,TRANSPARENT,20260305T120000,20260305T130000,20260304T144655,20260304T144655,Debatt om förslag,"['', '\\n\\n2025/26:SoU15 Stöd till personer med funktionsnedsättning\\n\\n2025/26:SoU21 Äldreomsorg\\n\\n2025/26:UbU15 Riksrevisionens rapport om urval till högskolan – urvalsgrunder\\, platsfördelning och tillämpning\\n\\n2025/26:UU15 Situationen i Israel och Palestina\\n\\n2025/26:FöU9 Samhällets krisberedskap\\n\\n2025/26:CU9 Juridiska personers förvärv av lantbruksegendom genom testamente\\n\\n2025/26:CU21 Elektronisk inlämning av bouppteckningar\\n\\n']",,"dok_id{HD01SoU15,HD01SoU21,HD01UbU15,HD01UU15,HD01FöU9,HD01CU9,HD01CU21};X-RD-TLISTA:HD0J20260305;X-RD-FLISTA:HD0I83",aktivitetlista/arbetsplenum/2026-03-05,40ee8b16-cf7a-4963-a05b-6ee5682a54fd,HDC120260305ap,,,Safir,2025/26,12:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260304vo,TRANSPARENT,20260304T160000,20260304T170000,20260304T154159,20260304T154159,Beslut,"['', '\\n2025/26:KrU5 Tillgång till kultur\\n\\n2025/26:MJU9 Djurskydd\\n\\n2025/26:NU11 Handelspolitik\\n\\n2025/26:NU12 Regional utvecklingspolitik\\n\\n2025/26:FöU7 Riksrevisionens rapport om den statliga styrningen av det civila försvarets uppbyggnad\\n\\n2025/26:SfU15 Arbetskraftsinvandring\\n\\n2025/26:MJU11 Fiskeripolitik\\n\\n2025/26:CU20 Hushållningen med mark- och vattenområden\\n\\n2025/26:AU10 Arbetsrätt och arbetstid\\n\\n2025/26:FiU32 Kompletterande bestämmelser till EU:s förordning om hållbarhetsbetyg\\n\\n2025/26:FiU36 Utveckling av makrotillsynsområdet\\n\\n2025/26:JuU23 Genomförande av direktivet om skydd för personer som deltar i den offentliga debatten samt införande av en ny tredskodomssanktion\\n\\n2025/26:NU13 Energipolitik\\n\\n2025/26:NU26 Subsidiaritetsprövning av kommissionens förslag om riktlinjer för transeuropeisk energiinfrastruktur och påskyndandet av tillståndsförfaranden\\n\\n2025/26:SkU14 Skatteförfarande\\, folkbokföring och tull\\n\\n2025/26:SkU17 Mervärdesskatt\\n']",,"dok_id{HD01KrU5,HD01MJU9,HD01NU11,HD01NU12,HD01FöU7,HD01SfU15,HD01MJU11,HD01CU20,HD01AU10,HD01FiU32,HD01FiU36,HD01JuU23,HD01NU13,HD01NU26,HD01SkU14,HD01SkU17};X-RD-TLISTA:;X-RD-FLISTA:HD0I82",aktivitetlista/arbetsplenum/2026-03-04,4dd000a3-21c1-4085-a842-e92989ccd90f,HDC120260304vo,,,Safir,2025/26,16:00:00-2
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260304ap,TRANSPARENT,20260304T090000,20260304T100000,20260304T154159,20260304T154159,Debatt om förslag,"['', '\\n\\n2025/26:FiU32 Kompletterande bestämmelser till EU:s förordning om hållbarhetsbetyg\\n\\n2025/26:FiU36 Utveckling av makrotillsynsområdet\\n\\n2025/26:JuU23 Genomförande av direktivet om skydd för personer som deltar i den offentliga debatten samt införande av en ny tredskodomssanktion\\n\\n2025/26:NU13 Energipolitik\\n\\n2025/26:NU26 Subsidiaritetsprövning av kommissionens förslag om riktlinjer för transeuropeisk energiinfrastruktur och påskyndandet av tillståndsförfaranden\\n\\n2025/26:SkU14 Skatteförfarande\\, folkbokföring och tull\\n\\n2025/26:SkU17 Mervärdesskatt\\n\\n2025/26:UbU7 Övergripande skolfrågor\\n\\n2025/26:UbU8 Grundläggande om utbildning\\n\\n']",,"dok_id{HD01FiU32,HD01FiU36,HD01JuU23,HD01NU13,HD01NU26,HD01SkU14,HD01SkU17,HD01UbU7,HD01UbU8};X-RD-TLISTA:HD0J20260304;X-RD-FLISTA:HD0I82",aktivitetlista/arbetsplenum/2026-03-04,3d714434-4159-4f1b-8d41-48fc24bda4ea,HDC120260304ap,,,Safir,2025/26,09:00:00-1
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260303ip,TRANSPARENT,20260303T130000,20260303T140000,20260304T233131,20260304T233131,Interpellationsdebatter,"['', '\\n\\n2025/26:329 Ekobrottsmyndighetens resurser \\n\\n2025/26:342 Trygghet för elitidrottare och kulturarbetare\\n\\n2025/26:260 Sveriges engagemang i OSSE\\n\\n2025/26:261 Sveriges ansvar på Västbanken enligt internationell rätt\\n\\n2025/26:346 Utvidgning av diskrimineringslagen\\n\\n2025/26:353 Skärpta sanktioner vid fall av diskriminering\\n\\n']",,"dok_id{HD10329,HD10342,HD10260,HD10261,HD10346,HD10353};X-RD-TLISTA:;X-RD-FLISTA:HD0I81",aktivitetlista/interpellationsdebatt/2026-03-03,847ab41d-499b-450d-8b99-235efe7b3c36,HDC120260303ip,,,Safir,2025/26,13:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260227ip,TRANSPARENT,20260227T090000,20260227T100000,20260228T233114,20260228T233114,Interpellationsdebatter,"['', '\\n\\n2025/26:306 Lagändring för att tillgängliggöra naloxon\\n\\n']",,dok_id{HD10306};X-RD-TLISTA:;X-RD-FLISTA:HD0I80,aktivitetlista/interpellationsdebatt/2026-02-27,73c6c5fe-fe02-406d-8cde-d029f03b5d21,HDC120260227ip,,,Safir,2025/26,09:00:00-0
"kammaren,frågestund,Frågestunder,kamm",Kammaren,RDHDC120260226fs,TRANSPARENT,20260226T140000,20260226T150000,20260225T154945,20260225T154945,Frågestund,"['', '\\nVid frågestunden svarar ministrarna i regeringen på frågor från riksdagsledamöterna direkt i kammaren.\\n\\n Frågor besvaras av: \\n\\nJämställdhetsminister Nina Larsson (L)\\n\\nFinansminister Elisabeth Svantesson (M)\\n\\nMinister för civilt försvar Carl-Oskar Bohlin (M)\\n\\nUtbildnings- och integrationsminister Simona Mohamsson (L)\\n\\nJämställdhetsminister Nina Larsson (L) besvarar såväl allmänpolitiska frågor som frågor inom sitt eget ansvarsområde.\\n\\nListan över ministrar som deltar är preliminär.\\n']",,;X-RD-TLISTA:;X-RD-FLISTA:HD0I79,,4bd2c954-bf46-4f45-b6b8-5f25d9de0004,HDC120260226fs,,,Safir,2025/26,14:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260226ap,TRANSPARENT,20260226T120000,20260226T130000,20260225T154945,20260225T154945,Debatt om förslag,"['', '\\n\\n2025/26:FöU7 Riksrevisionens rapport om den statliga styrningen av det civila försvarets uppbyggnad\\n\\n2025/26:SfU15 Arbetskraftsinvandring\\n\\n2025/26:MJU11 Fiskeripolitik\\n\\n2025/26:CU20 Hushållningen med mark- och vattenområden\\n\\n2025/26:AU10 Arbetsrätt och arbetstid\\n\\n']",,"dok_id{HD01FöU7,HD01SfU15,HD01MJU11,HD01CU20,HD01AU10};X-RD-TLISTA:HD0J20260226;X-RD-FLISTA:HD0I79",aktivitetlista/arbetsplenum/2026-02-26,43c8c3f9-a407-45de-a90f-563d91426c18,HDC120260226ap,,,Safir,2025/26,12:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260225vo10,TRANSPARENT,20260225T160000,20260225T170000,20260225T163354,20260225T163354,Beslut,"['', '\\n2025/26:TU9 Vägtrafik- och fordonsfrågor\\n\\n2025/26:TU8 Digitaliserings- och postfrågor\\n\\n2025/26:JuU21 Riksrevisionens rapport om antagningen till polisutbildningen\\n\\n2025/26:FiU29 Nya regler för att underlätta noteringar av värdepapper\\n\\n2025/26:FiU14 Det finanspolitiska ramverket\\n\\n2025/26:SoU23 Nästa steg för en god och nära vård\\n\\n2025/26:SkU9 Tillfälligt sänkt mervärdesskatt på livsmedel\\n\\n2025/26:SkU18 Förbättrat regelverk om beskattning av skog\\n\\n2025/26:SkU6 Kompletteringar och förtydliganden i fråga om sanktioner vid skatteundandragande och bedrägerier\\n\\n2025/26:CU10 Ett förbättrat resegarantisystem\\n\\n2025/26:CU15 Ersättningsrätt samt insolvens- och utsökningsrätt\\n\\n2025/26:SkU10 Framtidens dataskydd vid Skatteverket\\, Tullverket och Kronofogdemyndigheten\\n\\n2025/26:SkU19 Kontroller av kontanta medel vid den inre gränsen\\n\\n2025/26:SfU11 Tillfälligt nedsatta arbetsgivaravgifter för 19–23-åringar\\n\\n2025/26:MJU17 Anpassning av svensk rätt till EU:s nya förordning om skyddade beteckningar på jordbruksprodukter och livsmedel samt livsmedelspolitik\\n\\n2025/26:CU19 Planering och byggande\\n\\n2025/26:JuU19 Ett utvidgat straffansvar för försök\\, förberedelse och stämpling till brott\\n\\n2025/26:JuU20 En modern lagstiftning för Kriminalvårdens personuppgiftsbehandling\\n\\n2025/26:KU16 Vissa sekretessfrågor som avser vapentransaktioner och Schengens informationssystem\\n\\n2025/26:KU24 Kommunala och regionala frågor\\n\\n2025/26:KU25 Allmänna helgdagar m.m.\\n\\n2025/26:AU9 Arbetsmarknadspolitik och arbetslöshetsförsäkringen\\n\\n2025/26:KrU4 Kulturarv och kulturmiljö\\n']",,"dok_id{HD01TU9,HD01TU8,HD01JuU21,HD01FiU29,HD01FiU14,HD01SoU23,HD01SkU9,HD01SkU18,HD01SkU6,HD01CU10,HD01CU15,HD01SkU10,HD01SkU19,HD01SfU11,HD01MJU17,HD01CU19,HD01JuU19,HD01JuU20,HD01KU16,HD01KU24,HD01KU25,HD01AU9,HD01KrU4};X-RD-TLISTA:;X-RD-FLISTA:HD0I78",aktivitetlista/arbetsplenum/2026-02-25,8f39057e-3f5a-4aca-81de-262db1a8e749,HDC120260225vo10,,,Safir,2025/26,16:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260225ap,TRANSPARENT,20260225T090000,20260225T100000,20260225T163354,20260225T163354,Debatt om förslag,"['', '\\n\\n2025/26:JuU19 Ett utvidgat straffansvar för försök\\, förberedelse och stämpling till brott\\n\\n2025/26:JuU20 En modern lagstiftning för Kriminalvårdens personuppgiftsbehandling\\n\\n2025/26:KU16 Vissa sekretessfrågor som avser vapentransaktioner och Schengens informationssystem\\n\\n2025/26:KU24 Kommunala och regionala frågor\\n\\n2025/26:KU25 Allmänna helgdagar m.m.\\n\\n2025/26:AU9 Arbetsmarknadspolitik och arbetslöshetsförsäkringen\\n\\n2025/26:KrU4 Kulturarv och kulturmiljö\\n\\n2025/26:KrU5 Tillgång till kultur\\n\\n2025/26:MJU9 Djurskydd\\n\\n2025/26:NU11 Handelspolitik\\n\\n2025/26:NU12 Regional utvecklingspolitik\\n\\n']",,"dok_id{HD01JuU19,HD01JuU20,HD01KU16,HD01KU24,HD01KU25,HD01AU9,HD01KrU4,HD01KrU5,HD01MJU9,HD01NU11,HD01NU12};X-RD-TLISTA:HD0J20260225;X-RD-FLISTA:HD0I78",aktivitetlista/arbetsplenum/2026-02-25,88418106-8500-436e-9b88-02c30ffcfb5f,HDC120260225ap,,,Safir,2025/26,09:00:00-0
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260224ap,TRANSPARENT,20260224T120100,20260224T130100,20260225T163354,20260225T163354,Debatt om förslag,"['Ingen starttid', '\\n\\n2025/26:SkU10 Framtidens dataskydd vid Skatteverket\\, Tullverket och Kronofogdemyndigheten\\n\\n2025/26:SkU19 Kontroller av kontanta medel vid den inre gränsen\\n\\n2025/26:SfU11 Tillfälligt nedsatta arbetsgivaravgifter för 19–23-åringar\\n\\n2025/26:MJU17 Anpassning av svensk rätt till EU:s nya förordning om skyddade beteckningar på jordbruksprodukter och livsmedel samt livsmedelspolitik\\n\\n2025/26:CU19 Planering och byggande\\n\\n']",,"dok_id{HD01SkU10,HD01SkU19,HD01SfU11,HD01MJU17,HD01CU19};X-RD-TLISTA:HD0J20260224;X-RD-FLISTA:HD0I77",aktivitetlista/arbetsplenum/2026-02-24,55fc03a9-7926-4380-b227-390e468bc51c,HDC120260224ap,,Ingen starttid,Safir,2025/26,12:01:00-2
