CATEGORIES,LOCATION,UID,TRANSP,DTSTART,DTEND,CREATED,LAST-MODIFIED,SUMMARY,DESCRIPTION,COMMENT,XRDDATA,XRDREST,XRDSOURCEID,XRDDOKID,XRDDOKRELID,XRDDTSTARTSTATUS,XRDSOURCE,XRDRM,XRDSORT
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260414ap,TRANSPARENT,20260414T130000,20260414T140000,20260318T123217,20260318T123217,Debatt om förslag,"['', '\\n\\n2025/26:FöU11 Riksrevisionens rapport om miljöräddning vid stora olyckor till sjöss\\n\\n2025/26:AU11 Jämställdhet och åtgärder mot diskriminering\\n\\n2025/26:AU12 Arbetsmiljö\\n\\n2025/26:JuU16 Polisfrågor\\n\\n']",,"dok_id{HD01FöU11,HD01AU11,HD01AU12,HD01JuU16};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-04-14,647d298a-8ce9-4570-bbbd-83d1d3a78657,HDC120260414ap,,,Safir,2025/26,13:00:00-0
"kammaren,debatt med anledning av vårpropositionen,Övriga debatter,kamm",Kammaren,RDHDC120260413dv,TRANSPARENT,20260413T130000,20260413T140000,20260318T105627,20260318T105627,Debatt om vårpropositionen,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,,152917ce-4425-4c20-87ef-021c51404d69,HDC120260413dv,,,Safir,2025/26,13:00:00-2
"kammaren,debatt med anledning av vårpropositionen,Övriga debatter,kamm",Kammaren,RDHDC120260413dv1tt,TRANSPARENT,20260413T130000,20260413T140000,20260218T134352,20260218T134352,Debatt om vårpropositionen,"['', '\\nFinansminister Elisabeth Svantesson (M) överlämnar regeringens ekonomiska vårproposition till riksdagen. Efter det hålls en debatt där riksdagspartiernas ekonomiska talespersoner deltar.\\nDebatten tolkas till teckenspråk och sänds via webb-tv. Den går att se både direkt och i efterhand.\\n']",,;X-RD-TLISTA:;X-RD-FLISTA:,,cms13062f3b-e6eb-4887-81f0-2b5cf52612f4swl,HDC120260413dv1tt,,,cms2023,2025/26,13:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260413ip,TRANSPARENT,20260413T110000,20260413T120000,20260318T105627,20260318T105627,Interpellationsdebatter,"['', '\\n\\n2025/26:330 Ytterligare åtgärder mot bolag som brottsverktyg\\n\\n2025/26:362 Transportmålet och Sveriges klimatinriktning\\n\\n2025/26:388 Snöskoteråkarnas rättsliga status\\n\\n2025/26:369 Förlossningsvården i Region Skåne\\n\\n']",,"dok_id{HD10330,HD10362,HD10388,HD10369};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/interpellationsdebatt/2026-04-13,b578f0f5-6b87-450a-a737-2c878f06b836,HDC120260413ip,,,Safir,2025/26,11:00:00-1
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260401vo,TRANSPARENT,20260401T160000,20260401T170000,20260318T131029,20260318T131029,Beslut,"['', '\\n2025/26:UbU10 Gymnasieskolan\\n\\n2025/26:JuU29 Stärkt säkerhetsskydd vid överlåtelse av fast egendom\\n\\n2025/26:JuU11 Straffrättsliga frågor\\n\\n2025/26:JuU14 Terrorism\\n\\n2025/26:FiU33 Uppgiftsskyldighet för vissa e-legitimationsföretag\\n\\n2025/26:SoU19 Barn och unga inom socialtjänsten\\n\\n2025/26:KU29 Offentlig förvaltning\\n\\n2025/26:KU30 Författningsfrågor\\n\\n2025/26:KU31 Riksrevisionens rapport om statens främjande av de nationella minoritetsspråken\\n\\n2025/26:CU17 Konsumenträtt m.m.\\n\\n2025/26:CU18 Bostadspolitik\\n\\n2025/26:NU15 Regelförenkling för företag\\n\\n2025/26:NU17 Elmarknadsfrågor\\n']",,"dok_id{HD01UbU10,HD01JuU29,HD01JuU11,HD01JuU14,HD01FiU33,HD01SoU19,HD01KU29,HD01KU30,HD01KU31,HD01CU17,HD01CU18,HD01NU15,HD01NU17};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-04-01,7bf891a4-97c0-4638-b333-51923c84457c,HDC120260401vo,,,Safir,2025/26,16:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260401ap,TRANSPARENT,20260401T090000,20260401T100000,20260318T131029,20260318T131029,Debatt om förslag,"['', '\\n\\n2025/26:KU29 Offentlig förvaltning\\n\\n2025/26:KU30 Författningsfrågor\\n\\n2025/26:KU31 Riksrevisionens rapport om statens främjande av de nationella minoritetsspråken\\n\\n2025/26:CU17 Konsumenträtt m.m.\\n\\n2025/26:CU18 Bostadspolitik\\n\\n2025/26:NU15 Regelförenkling för företag\\n\\n2025/26:NU17 Elmarknadsfrågor\\n\\n']",,"dok_id{HD01KU29,HD01KU30,HD01KU31,HD01CU17,HD01CU18,HD01NU15,HD01NU17};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-04-01,76bc8373-dc95-4205-8bda-c218c9c603a6,HDC120260401ap,,,Safir,2025/26,09:00:00-0
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260331ap,TRANSPARENT,20260331T120000,20260331T130000,20260318T131029,20260318T131029,Debatt om förslag,"['', '\\n\\n2025/26:UbU10 Gymnasieskolan\\n\\n2025/26:JuU29 Stärkt säkerhetsskydd vid överlåtelse av fast egendom\\n\\n2025/26:JuU11 Straffrättsliga frågor\\n\\n2025/26:JuU14 Terrorism\\n\\n2025/26:FiU33 Uppgiftsskyldighet för vissa e-legitimationsföretag\\n\\n2025/26:SoU19 Barn och unga inom socialtjänsten\\n\\n']",,"dok_id{HD01UbU10,HD01JuU29,HD01JuU11,HD01JuU14,HD01FiU33,HD01SoU19};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-31,d8281571-8b20-4884-b4f9-7884598929fe,HDC120260331ap,,,Safir,2025/26,12:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260330ip,TRANSPARENT,20260330T110000,20260330T120000,20260318T103845,20260318T103845,Interpellationsdebatter,"['', '\\n\\n2025/26:383 Regeringens ekonomiska prioriteringar \\n\\n2025/26:356 Färdtjänst och regeringens fortsatta beredning av Trafikanalys förslag\\n\\n']",,"dok_id{HD10383,HD10356};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/interpellationsdebatt/2026-03-30,61267c9c-5f47-443c-9d06-7a92244e0624,HDC120260330ip,,,Safir,2025/26,11:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260327ip,TRANSPARENT,20260327T090000,20260327T100000,20260310T162117,20260310T162117,Interpellationsdebatter,"['', '\\n\\n2025/26:382 Underlag för lagstiftning på det rättspolitiska området \\n\\n']",,dok_id{HD10382};X-RD-TLISTA:;X-RD-FLISTA:,aktivitetlista/interpellationsdebatt/2026-03-27,19e170d5-b7cf-4cc4-a34b-aae7efb57896,HDC120260327ip,,,Safir,2025/26,09:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260326vo,TRANSPARENT,20260326T152000,20260326T162000,20260318T134330,20260318T134330,Beslut,"['', '\\n2025/26:SfU19 Skyndsamhet och preklusionsfrister vid överprövning av upphandling av fonder till premiepensionens fondtorg\\n\\n2025/26:SoU26 Ett språkkrav inom äldreomsorgen\\n\\n2025/26:SoU22 Kompetensförsörjning\\, e-hälsa och beredskap\\n\\n2025/26:UU7 Internationella relationer\\n\\n2025/26:FöU6 Integritetsskydd vid signalspaning i försvarsunderrättelseverksamhet\\n\\n2025/26:KrU6 Idrott\\, friluftsliv och spel\\n\\n2025/26:KrU7 Konstarter\\, språk och bibliotek\\n']",,"dok_id{HD01SfU19,HD01SoU26,HD01SoU22,HD01UU7,HD01FöU6,HD01KrU6,HD01KrU7};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-26,8fd0b263-60e1-4e12-b83b-1d7243b03a7c,HDC120260326vo,,,Safir,2025/26,15:20:00-2
